person,offer_id,received_id,offer_successful,sum_event_offer_received,sum_event_offer_viewed,sum_event_transaction,sum_event_offer_completed,sum_amount,mean_difficulty,mean_amount,count_received_id,channel_email,channel_mobile,channel_social,channel_web,age,income,gender_F,gender_M,gender_O,gender_Unknown,year,month,day,week
0009655768c64bdeb2e877511632db8f,3f207df678b143eea3cee63160fa8bed,1.0,0.0,2,2,1,0,22.16,0.0,4.432,2.0,1.0,1.0,0.0,1.0,33,72000.0,0,1,0,0,2017,4,21,16
0009655768c64bdeb2e877511632db8f,5a8bc65990b245e5a138643cd4eb9837,2.0,1.0,2,2,1,0,22.16,0.0,4.432,2.0,1.0,1.0,1.0,0.0,33,72000.0,0,1,0,0,2017,4,21,16
0011e0d4e6b944f998e987f904e8c1e5,3f207df678b143eea3cee63160fa8bed,9.0,0.0,2,2,1,0,13.49,0.0,2.698,2.0,1.0,1.0,0.0,1.0,40,57000.0,0,0,1,0,2018,1,9,2
0011e0d4e6b944f998e987f904e8c1e5,5a8bc65990b245e5a138643cd4eb9837,10.0,0.0,2,2,1,0,13.49,0.0,2.698,2.0,1.0,1.0,1.0,0.0,40,57000.0,0,0,1,0,2018,1,9,2
0020c2b971eb4e9188eac86d93036a77,5a8bc65990b245e5a138643cd4eb9837,13.0,0.0,1,1,3,0,64.67,0.0,12.934000000000001,1.0,1.0,1.0,1.0,0.0,59,90000.0,1,0,0,0,2016,3,4,9
0020ccbbb6d84e358d3414a3ff76cffd,5a8bc65990b245e5a138643cd4eb9837,18.0,1.0,1,1,5,0,75.14,0.0,10.734285714285715,2.0,1.0,1.0,1.0,0.0,24,60000.0,1,0,0,0,2016,11,11,45
003d66b6608740288d6cc97a6903f4f0,3f207df678b143eea3cee63160fa8bed,22.0,1.0,2,2,4,0,8.36,0.0,1.045,2.0,1.0,1.0,0.0,1.0,26,73000.0,1,0,0,0,2017,6,21,25
003d66b6608740288d6cc97a6903f4f0,5a8bc65990b245e5a138643cd4eb9837,23.0,1.0,2,2,4,0,8.36,0.0,1.045,2.0,1.0,1.0,1.0,0.0,26,73000.0,1,0,0,0,2017,6,21,25
00426fe3ffde4c6b9cb9ad6d077a13ea,5a8bc65990b245e5a138643cd4eb9837,29.0,1.0,1,1,7,0,30.92,0.0,3.4355555555555557,1.0,1.0,1.0,1.0,0.0,19,65000.0,1,0,0,0,2016,8,9,32
004b041fbfe44859945daa2c7f79ee64,3f207df678b143eea3cee63160fa8bed,31.0,0.0,1,0,3,0,64.89,0.0,16.2225,1.0,1.0,1.0,0.0,1.0,55,74000.0,1,0,0,0,2018,5,8,19
0056df74b63b4298809f0b375a304cf4,3f207df678b143eea3cee63160fa8bed,46.0,1.0,1,1,1,0,29.03,0.0,9.676666666666668,1.0,1.0,1.0,0.0,1.0,54,91000.0,0,1,0,0,2016,8,21,33
0063def0f9c14bc4805322a488839b32,5a8bc65990b245e5a138643cd4eb9837,50.0,0.0,1,1,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,118,0.0,0,0,0,1,2018,6,15,24
0069a50874d846438e58acff5e594725,3f207df678b143eea3cee63160fa8bed,56.0,0.0,1,0,1,0,3.61,0.0,1.805,1.0,1.0,1.0,0.0,1.0,118,0.0,0,0,0,1,2016,5,3,18
00715b6e55c3431cb56ff7307eb19675,3f207df678b143eea3cee63160fa8bed,60.0,0.0,1,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,58,119000.0,1,0,0,0,2017,12,7,49
0082fd87c18f45f2be70dbcbb0fb8aad,3f207df678b143eea3cee63160fa8bed,63.0,1.0,3,3,5,0,93.66,0.0,8.514545454545454,3.0,1.0,1.0,0.0,1.0,28,68000.0,1,0,0,0,2017,9,8,36
0082fd87c18f45f2be70dbcbb0fb8aad,3f207df678b143eea3cee63160fa8bed,64.0,0.0,3,3,5,0,93.66,0.0,8.514545454545454,3.0,1.0,1.0,0.0,1.0,28,68000.0,1,0,0,0,2017,9,8,36
0082fd87c18f45f2be70dbcbb0fb8aad,5a8bc65990b245e5a138643cd4eb9837,65.0,1.0,3,3,5,0,93.66,0.0,8.514545454545454,3.0,1.0,1.0,1.0,0.0,28,68000.0,1,0,0,0,2017,9,8,36
00840a2ca5d2408e982d56544dc14ffd,3f207df678b143eea3cee63160fa8bed,71.0,0.0,1,0,2,0,1.17,0.0,0.38999999999999996,1.0,1.0,1.0,0.0,1.0,26,61000.0,0,1,0,0,2014,12,21,51
008d7088107b468893889da0ede0df5c,5a8bc65990b245e5a138643cd4eb9837,81.0,0.0,2,2,0,0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,24,42000.0,0,1,0,0,2017,9,10,36
008d7088107b468893889da0ede0df5c,5a8bc65990b245e5a138643cd4eb9837,82.0,0.0,2,2,0,0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,24,42000.0,0,1,0,0,2017,9,10,36
0092a132ead946ceb30d11a1ed513d20,5a8bc65990b245e5a138643cd4eb9837,92.0,1.0,1,1,1,0,1.32,0.0,0.44,1.0,1.0,1.0,1.0,0.0,118,0.0,0,0,0,1,2018,5,2,18
00a794f62b9a48beb58f8f6c02c2f1a6,3f207df678b143eea3cee63160fa8bed,106.0,1.0,3,3,7,0,113.19,0.0,8.706923076923077,3.0,1.0,1.0,0.0,1.0,88,54000.0,1,0,0,0,2015,10,24,43
00a794f62b9a48beb58f8f6c02c2f1a6,3f207df678b143eea3cee63160fa8bed,107.0,1.0,3,3,7,0,113.19,0.0,8.706923076923077,3.0,1.0,1.0,0.0,1.0,88,54000.0,1,0,0,0,2015,10,24,43
00a794f62b9a48beb58f8f6c02c2f1a6,3f207df678b143eea3cee63160fa8bed,108.0,1.0,3,3,7,0,113.19,0.0,8.706923076923077,3.0,1.0,1.0,0.0,1.0,88,54000.0,1,0,0,0,2015,10,24,43
00ad4c2cace94f67a6354ec90d6c6f45,5a8bc65990b245e5a138643cd4eb9837,113.0,1.0,2,2,3,0,5.07,0.0,0.7242857142857143,2.0,1.0,1.0,1.0,0.0,118,0.0,0,0,0,1,2016,8,18,33
00ad4c2cace94f67a6354ec90d6c6f45,5a8bc65990b245e5a138643cd4eb9837,114.0,1.0,2,2,3,0,5.07,0.0,0.7242857142857143,2.0,1.0,1.0,1.0,0.0,118,0.0,0,0,0,1,2016,8,18,33
00ae03011f9f49b8a4b3e6d416678b0b,5a8bc65990b245e5a138643cd4eb9837,119.0,0.0,1,1,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,55,83000.0,0,1,0,0,2015,11,15,46
00b18b535d6d4f779dea4dc9ac451478,5a8bc65990b245e5a138643cd4eb9837,127.0,0.0,1,1,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,72,102000.0,0,1,0,0,2017,4,7,14
00b3400e4ff64ee68ce9ada1d0c222f0,3f207df678b143eea3cee63160fa8bed,131.0,0.0,2,1,3,0,50.36,0.0,8.393333333333333,2.0,1.0,1.0,0.0,1.0,62,80000.0,0,1,0,0,2016,8,25,34
00b3400e4ff64ee68ce9ada1d0c222f0,5a8bc65990b245e5a138643cd4eb9837,132.0,1.0,2,1,3,0,50.36,0.0,8.393333333333333,2.0,1.0,1.0,1.0,0.0,62,80000.0,0,1,0,0,2016,8,25,34
00bbce6533f44ddeaf4dd32bcab55441,5a8bc65990b245e5a138643cd4eb9837,146.0,1.0,1,1,4,0,46.64,0.0,7.773333333333333,1.0,1.0,1.0,1.0,0.0,94,50000.0,0,1,0,0,2014,11,28,48
00c5a385c71a4d3db5e9b4e31e430943,3f207df678b143eea3cee63160fa8bed,173.0,1.0,1,1,1,0,1.03,0.0,0.3433333333333333,1.0,1.0,1.0,0.0,1.0,28,35000.0,0,1,0,0,2017,10,3,40
